inquiry,discipline,traditional,progressive,readingscore,mathscore,pocschool,pocsd,povertyschool,povertysd,students,age,expulsions,titlei,ethnicisolated,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity
0.003644567858382506,0.0020820681877331475,0.0008240804996530189,0.00013012361743656469,35-39,20-24,0.7484276729559748,-70.71,0.6446540880503144,11.66,318.0,14.0,0.0,0.0,0,25.35,638.3686,7.75,28.01,0.0,245,125.0
0.0032453788627063644,0.00038792495415432363,0.00024686133446184236,0.00028219690288899064,70-74,85-89,0.38562091503267976,-83.11,0.2875816993464052,9.9,153.0,0.0,0.0,,0,30.21,367.6226,4.65,6.67,0.0,6,0.0
0.0068073908815285186,0.0002286890400777544,0.00011434452003887714,0.0006292546193009558,57,41,0.5348837209302325,-62.79,0.2813953488372093,11.19,430.0,7.0,0.0,1.0,0,42.41,5228.638,7.58,25.15,0.004405286343612335,224,46.0
0.012579833559125212,0.0052295177222545005,0.0,0.00019331142470520006,25,7,0.9903846153846154,-12.65,0.7724358974358975,34.68,312.0,17.0,0.0,1.0,1,13.820000000000002,4923.774,22.14,5.49,0.0,306,65.0
0.0012610340479192945,0.0,0.0,0.0,LE5,35-39,0.9888888888888888,-58.7,0.7777777777777778,19.13,450.0,10.0,0.0,1.0,0,33.96,4782.319,7.14,27.77,0.003424657534246575,17,0.0
0.007881526104417672,0.0016564601947595627,0.00015057973196807713,5.019324398935902e-05,61,63,0.975206611570248,-74.64,0.7603305785123967,16.33,242.0,3.0,0.0,1.0,0,27.28,1404.013,8.54,52.23,0.005681818181818182,31,3.0
0.0047101964689332506,0.0011692579951965622,0.0008058399696624952,0.00047415836889521095,45-49,30-34,0.7520891364902507,-24.02,0.7799442896935933,7.3,359.0,15.0,2.0,1.0,0,31.37,220.1082,5.51,17.94,0.0,1856,207.0
0.005512126678693124,0.00030039050765995806,0.00020024028834601516,0.0008013623159370932,30-34,10-14,0.986842105263158,-37.2,0.8947368421052632,16.07,76.0,0.0,,,0,39.71,7366.9119999999975,9.3,27.25,0.0,172,22.0
0.0,0.0,0.0,0.0,93,85,0.3548009367681499,-72.4,0.060889929742388764,5.05,854.0,3.0,0.0,0.0,0,46.24,2689.736,4.54,17.5,0.016666666666666666,6,0.0
0.0,0.0,0.0,0.0,35-39,40-44,0.09333333333333334,-94.53,0.32666666666666666,13.5,150.0,17.0,0.0,1.0,0,10.11,42.87846,8.72,1.02,0.0,4,0.0
0.0,0.0,0.0,0.0,57,43,0.9857752489331436,-41.94,0.6813655761024182,21.46,703.0,5.0,0.0,1.0,0,34.24,6981.5059999999985,11.28,16.23,0.0,22,6.0
0.007487922705314006,0.0003617945007235888,0.00012059816690786302,0.0009651345156231153,35-39,10-14,0.8537234042553191,-57.7,0.9920212765957448,23.31,376.0,0.0,0.0,,0,14.4,6665.38,13.14,16.12,0.0,1,0.0
0.0072397391045237345,0.0021510832634690897,0.0003419029657324996,0.0004633818045411418,40-49,20-29,0.4328358208955224,-75.92,-0.01492537313432836,4.05,67.0,17.0,,0.0,0,49.33000000000001,1211.355,5.01,11.68,0.0,69,16.0
0.0026442307692307685,0.0,0.0,0.0,70-74,70-74,0.34959349593495936,-81.77,0.3089430894308943,9.78,246.0,17.0,0.0,1.0,0,34.18,133.3681,7.27,4.71,0.0,4,0.0
0.001869907840256445,0.0,0.0,0.0001335826876836762,61,72,0.9876977152899824,-62.87,0.9261862917398944,20.44,569.0,14.0,0.0,1.0,0,27.99,2901.4509999999996,6.86,24.18,0.0,2,0.0
0.0249221183800623,0.0,0.0015552099533437018,0.003115264797507789,90-94,GE95,0.6291891891891892,-42.07,0.0,17.0,925.0,6.0,0.0,1.0,0,36.22000000000001,27960.18,8.6,37.18,0.0,7,0.0
0.008891711654493492,0.0,0.0006349206349206351,0.0012710517953606615,48,24,0.994750656167979,-18.53,0.7217847769028871,18.41,381.0,10.0,,1.0,1,18.14,8397.994,10.04,38.77,0.0,40,15.0
